canonical_name,found_at,discovery_method,points_to,mandatory_optional_reinforcing,standalone_or_embedded,linked_npcs,linked_locations,handout_yes_no,source_pages
Operation ALICE briefing,Marcus / Bloom’s briefing,Automatic opening brief,Abigail Wright case; Wright apartment; occult angle,Mandatory,Embedded,Dr. Marvin Bloom; Abigail Wright,Operation frame; Macallistar Building,No,IL pp. 67-69
Abigail bought the Red Book,Backstory / Thomas Wright recollection / timeline,Research or later synthesis,The Bookshop; the play as root cause,Mandatory,Embedded,Abigail Wright; Thomas Wright,Abigail Wright Disappearance; Bookshop,No,"IL pp. 54-56, 67"
Tenants stopped leaving the building,External canvassing / timeline,Ask local businesses or review timeline,Building-wide corruption; pushes Agents to canvass tenants,Mandatory,Embedded,Thomas Manuel; Roger Carun; Michelle Vanfitz; Louis Post,Macallistar Building,No,"IL pp. 54-56, 86-87"
Utilities are shut off but still work,Utility checks / tenant investigation,Research bills and services,The building itself is impossible; reinforces supernatural reality,Reinforcing,Embedded,,Macallistar Building,No,IL pp. 86-87
Carun made the last outgoing call,Phone-record research / timeline,Check records or tenant behavior,Carmen Wagner; Carun clue path,Mandatory,Embedded,Roger Carun; Carmen Wagner,Macallistar Building; Roger Carun’s Apartment,No,"IL pp. 54-56, 86-87"
David Langford vanished in the building,Timeline / Langford report / later encounter,Research case timeline; speak to Ian Langford; reach the Night Floors,The building actively takes people; top-floor stair landing,Mandatory,Standalone Journal,David Langford,Top-Floor Stair Landing / Roof Door; The Night Floors,No,"IL pp. 54-56, 100-101"
Wright’s shrine-wall,Abigail Wright’s apartment,Automatic on entry,The case is unnatural; reveals multiple sub-clues,Mandatory,Standalone Journal,Abigail Wright; Thomas Wright; Graham Giuradanda,Abigail Wright’s Apartment and Shrine,Yes,IL pp. 74-82
Macallistar Map,Abigail Wright’s apartment shrine,Search / evidence cataloging,Night Floors access points; Mr. Castaigne; “The Parlor”; closets as portals,Mandatory,Standalone Journal,Abigail Wright,Abigail Wright’s Apartment and Shrine; Macallistar Building; The Night Floors,Yes,IL p. 78
Mysterious Play pages,Abigail Wright’s apartment shrine; later Manuel stash,Search; usually no more than one page per day in Wright’s apartment,"The building’s cast are characters; introduces Roark, Castaigne, Encyclopedia Salesman, Dog",Mandatory,Standalone Journal,Abigail Wright; Thomas Manuel; Mark Roark; Henri de Calvados Castaigne; Encyclopedia Salesman,Abigail Wright’s Apartment and Shrine; Thomas Manuel’s Apartment; The Night Floors,Yes,"IL pp. 55, 79"
The Receipt for apartment 10B,Abigail Wright’s apartment shrine,Search / evidence processing,There is a tenant relationship to a room that should be empty; points to hidden occupancy / impossible tenancy,Optional,Standalone Journal,Abigail Wright,Abigail Wright’s Apartment and Shrine,Yes,IL p. 80
The Sheet Music / “let the red dawn surmise…”,Abigail Wright’s apartment shrine,Search; Art (Music) or later research,Repeats later in the campaign; marks the shrine as part of a larger pattern,Reinforcing,Standalone Journal,Abigail Wright,Abigail Wright’s Apartment and Shrine,Yes,IL p. 80
The Seal in gold ink,Abigail Wright’s apartment shrine debris,Search / evidence processing,The occult symbol that drew Delta Green into the case,Mandatory,Standalone Journal,Abigail Wright; Dr. Marvin Bloom,Abigail Wright’s Apartment and Shrine; Operation frame,Yes,"IL pp. 67-68, 80"
Broadalbin clue / hotel thread,Wright apartment clue cluster and later Night Floors residents,Research the building / Daribondi / ask Night World residents,Hotel Broadalbin as future route,Optional,Embedded,Abigail Wright; Mark Roark; Henri de Calvados Castaigne,Abigail Wright’s Apartment and Shrine; The Night Floors; Hotel Broadalbin,Yes,"IL pp. 71-73, 78, 97-100"
Manuel’s “going-away party in the Smoking Lounge” statement,Thomas Manuel interview,Ask Manuel by day,The building has a fourth floor / Night Floors by night; Wright “moved on”,Mandatory,Embedded,Thomas Manuel; Abigail Wright,Thomas Manuel’s Apartment; Smoking Lounge; The Night Floors,No,IL pp. 85-86
Manuel family testimony,Arthur and Elaine Manuel,Interview family,“Man with suitcase and large grey dog”; confirms night-side personnel intruded into the day-world case,Optional,Embedded,Arthur and Elaine Manuel; The Dog,Macallistar Building,No,IL pp. 85-86
Manuel’s hidden recess,Thomas Manuel’s apartment,Brief Search,"Gives three parallel clues at once: cassettes, partial Play, Ambrose locket",Mandatory,Embedded,Thomas Manuel,Thomas Manuel’s Apartment,No,IL p. 87
Ambient hallway cassettes,Thomas Manuel’s hidden recess,Play recovered cassettes,Confirms night activity in the building hall,Reinforcing,Embedded,Thomas Manuel,Thomas Manuel’s Apartment; Abigail Wright’s hall,Optional,IL p. 87
Incomplete copy of the Play in Manuel’s stash,Thomas Manuel’s hidden recess,Brief Search,Reinforces that the play is propagating inside the building,Reinforcing,Embedded,Thomas Manuel; Abigail Wright,Thomas Manuel’s Apartment,Optional,IL p. 87
Ambrose locket,Thomas Manuel’s hidden recess,Brief Search; expert inspection,Ambrose thread; old-world / Broadalbin-adjacent craftsmanship,Optional,Standalone Journal,Thomas Manuel,Thomas Manuel’s Apartment,Yes,IL p. 87
Microphone wire to Wright’s door,Thomas Manuel’s apartment / hallway,Search,Manuel is recording Wright’s apartment by night; links him directly to her disappearance,Mandatory,Standalone Journal,Thomas Manuel; Abigail Wright,Thomas Manuel’s Apartment; Abigail Wright’s Apartment and Shrine,Yes,IL p. 87
Non-rotting expired food in Manuel’s apartment,Manuel’s refrigerator,Extensive Search; test by removing food,Building-level reality distortion,Reinforcing,Embedded,Thomas Manuel,Thomas Manuel’s Apartment; Macallistar Building,No,IL p. 87
Basement studio / “My Great Work” / linseed oil for Sami,Basement studio,Search basement,Links Manuel to Esther Samigina later; paintings foreshadow later horrors,Optional,Embedded,Thomas Manuel,Thomas Manuel’s Basement Studio,No,IL pp. 88
Manuel says Vanfitz has the Red Book,Manuel at night,Ask him about The King in Yellow,Michelle Vanfitz and the shared copy of the play,Mandatory,Embedded,Thomas Manuel; Michelle Vanfitz,Thomas Manuel’s Apartment; Michelle Vanfitz’s Apartment,No,IL pp. 88-89
Carun’s apartment hairs on openings,Roger Carun’s apartment,Search,Carun is paranoid and actively monitoring intrusion; reinforces that he knows more than he says,Reinforcing,Embedded,Roger Carun,Roger Carun’s Apartment,No,IL p. 89
Carmen Wagner’s answering-machine message,Carmen Wagner,Interview Wagner / get tape,Carun’s last external contact; gives one of the strongest outside-world clue packets,Mandatory,Standalone Journal,Carmen Wagner; Roger Carun,Roger Carun’s Apartment,Yes,IL pp. 89-91
“Start with Peter Devoras” recurring calls,Carmen Wagner,Ask follow-up questions,Daribondi murder thread / wider victim list / broader history of the infection,Optional,Embedded,Carmen Wagner,Carmen Wagner’s apartment,No,IL pp. 89-91
Vanfitz holds Wright’s copy of the Red Book,Michelle Vanfitz’s apartment,Brief Search of shelves,Confirms the play’s physical route through the tenant network,Mandatory,Standalone Journal,Michelle Vanfitz; Abigail Wright,Michelle Vanfitz’s Apartment,Optional,IL pp. 91-95
Vanfitz night archway,Michelle Vanfitz’s apartment at night,Enter apartment after dark,Direct access to the Night Floors,Mandatory,Embedded,Michelle Vanfitz,Michelle Vanfitz’s Apartment; The Night Floors,No,IL pp. 91-95
A World Without Doors / impossible library books,Vanfitz’s shelves,Extensive Search,Shared campaign threads; confirms the apartment holds literature from the wider Night World,Optional,Embedded,Michelle Vanfitz,Michelle Vanfitz’s Apartment,No,IL p. 92
Post’s deterioration / work collapse,Louis Post investigation / his agent Mike Severs,Interview or background check,"Shows the same infection pattern in another tenant, but does not open a new route by itself",Reinforcing,Embedded,Louis Post,Louis Post’s Apartment,No,IL pp. 95-97
Night Floors access itself,Roof door or Vanfitz archway,Go after dark with sufficient Corruption / or via Vanfitz route,The real second half of the operation,Mandatory,Standalone Journal,David Langford; Mark Roark; Henri de Calvados Castaigne,Top-Floor Stair Landing / Roof Door; Michelle Vanfitz’s Apartment; The Night Floors,No,IL pp. 97-112
Mark Roark / Broadalbin testimony,The Night Floors,Speak with Roark,Broadalbin; bottle logic; “you can’t find Abigail here” vector,Optional,Embedded,Mark Roark; Abigail Wright,The Night Floors; Hotel Broadalbin; Bookshop,No,"IL pp. 97-100, 112"
David Langford alive in the Night Floors,The Night Floors,Encounter Langford,Confirms the building has been taking people since March and they may survive in horrible ways,Mandatory,Embedded,David Langford,The Night Floors; Top-Floor Stair Landing / Roof Door,No,IL pp. 100-101
Henri de Calvados Castaigne testimony,The Night Floors,Speak with Castaigne,Castaigne / soul-bottle / deeper Night World court logic,Optional,Embedded,Henri de Calvados Castaigne,The Night Floors,No,IL pp. 102-104
Resolution clue: Abigail cannot be found here,The Night Floors / resolution text / NPC warnings,Reach the deep enough point of exploration or heed Roark/Castaigne,Prevents infinite wandering; points toward later campaign instead of deeper OP1 descent,Mandatory,Embedded,Abigail Wright; Mark Roark; Henri de Calvados Castaigne,The Night Floors,No,IL pp. 112-113
