canonical_name,document_type,folder_path,classification,player_title,gm_summary,source_pages
SHARED - Concept - The King in Yellow [GM],Journal,SHARED / 10 - Concepts,SHARED,,Campaign master concept for the play and infection pattern.,"IL pp. 24-29, 67"
SHARED - Concept - The Yellow Sign [GM],Journal,SHARED / 10 - Concepts,SHARED,,Campaign master symbol and effect reference.,IL pp. 347-349
SHARED - Concept - The Night World [GM],Journal,SHARED / 10 - Concepts,SHARED,,Campaign master concept for connected night-side places.,"IL pp. 24, 97-112"
SHARED - Location - The Bookshop [GM],Journal,SHARED / 20 - Recurring Places,SHARED,,Recurring EXEUNT location linked from Part One.,"IL pp. 67, 120-130"
SHARED - Location - Hotel Broadalbin [GM],Journal,SHARED / 20 - Recurring Places,SHARED,,Recurring hotel node foreshadowed in Part One.,"IL pp. 71-73, 97-104"
SHARED - NPC - Mark Roark [GM],Journal,SHARED / 30 - Recurring Cast,SHARED,,Recurring Night World resident and crooked guide.,IL pp. 97-100
SHARED - Entity - The Dog [GM],Actor,SHARED / 40 - Entities & Threats / 10 - Recurring Creatures,SHARED,,Named recurring creature tied to the building’s deeper history.,"IL pp. 100-101, 117"
SHARED - Tome - The King in Yellow [GM],Item,SHARED / 50 - Artifacts / Tomes / Rituals,SHARED,,Shared master for the accursed play.,"IL pp. 24-29, 55, 348-349"
SHARED - Tome - A World Without Doors [GM],Item,SHARED / 50 - Artifacts / Tomes / Rituals,SHARED,,Shared recurring tome found on Vanfitz’s shelves.,IL p. 92
OP1 - Event - Operation ALICE [GM],Journal,OP1 - The Night Floors / 10 - Briefing / Framing,OP1,,Truth about Abigail; DG trigger; why this is not a normal missing-person case.,IL pp. 67-69
OP1 - Event - Abigail Wright Disappearance [GM],Journal,OP1 - The Night Floors / 10 - Briefing / Framing,OP1,,What actually happened to Wright.,"IL pp. 66-67, 54-56"
OP1 - Event - David Langford Vanishing [GM],Journal,OP1 - The Night Floors / 50 - Events / Encounters,OP1,,He crossed at the day/night threshold and survived in the Night Floors.,"IL pp. 54-56, 100-101"
OP1 - Event - Going-Away Party [GM],Journal,OP1 - The Night Floors / 50 - Events / Encounters,OP1,,Smoking Lounge / fourth-floor impossibility / “moved on” meaning.,"IL pp. 85-86, 97-99"
OP1 - Event - Resolution of The Night Floors [GM],Journal,OP1 - The Night Floors / 90 - Resolution / Exeunt,OP1,,Abigail cannot be recovered here; local fix vs real solution; OP2 bridge.,IL pp. 112-114
OP1 - NPC - Abigail Wright [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,OP1,,"Abigail bought a copy of The King in Yellow in February 1995, shared it with the other tenants, discovered the Night Floors in early May, and used them to build her shrine. In the truth of Part One, she is lost to the Night World and has moved toward Carcosa. She cannot be recovered during this operation.","IL pp. 54-56, 66-67, 74, 112-113"
OP1 - NPC - Thomas Wright [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,OP1,,"Thomas’s recollections anchor several important facts: Abigail found the Red Book while shopping with him, her mother Ellen died warning him that “He’s coming for my baby,” and Thomas himself found the shrine on 4 JUN 1995. He is emotionally credible, but the truth he carries is larger than he can understand.","IL pp. 54-56, 83-84"
OP1 - NPC - Dr. Marvin Bloom [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 10 - Delta Green & Law,OP1,,Bloom is part of the newer Delta Green culture of the 1990s. He is not the occult revelation of this chapter; he is the operational spine that gets the Agents into the building and gives them a way to interpret early danger.,"IL pp. 67-69, 114"
OP1 - NPC - Graham Giuradanda [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 10 - Delta Green & Law,OP1,,"Giuradanda is one of the safest and strongest allies in Part One. He is grounded, competent, religious, and potentially replacement-Agent material if the table needs him.","IL pp. 74, 116-117"
OP1 - NPC - Cynthia Lechance [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 20 - Wright Case,OP1,,"Lechance has no knowledge of the Night Floors or the building’s deeper reality. Her role is to confirm the day-world situation: the tenants stopped paying, no one will speak to her, and ARTLIFE is quietly eager to clear the building for renovation.",IL pp. 72-74
OP1 - NPC - Thomas Manuel [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,OP1,,"Manuel has been drawn deeply into the Night Floors. He recorded Wright’s apartment, hid clues in his plant base, worked in the basement studio, and describes Wright as having “moved on” or “figured it out.” At night he may be found making tapes of Wright’s apartment, working on paintings alone while audibly conversing with someone unseen, or playing ball with the Dog.","IL pp. 85-89, 117-118"
OP1 - NPC - Arthur and Elaine Manuel [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 40 - Families & Contacts,OP1,,"Their key value is as external witnesses. On 31 MAR 1995, after dark, they were turned away from the Macallistar by a “man with a suitcase and a large grey dog” who said Thomas no longer lived there.",IL pp. 85-87
OP1 - NPC - Roger Carun [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,OP1,,"Carun is one of the strongest clue carriers in the building. His last outside call went to Carmen Wagner. At night he casually accepts the Night Floors as if they are normal, insists Wright still lives upstairs on Six, and guards his apartment with hairs over openings to detect intruders.","IL pp. 89-91, 115-116"
OP1 - NPC - Carmen Wagner [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 40 - Families & Contacts,OP1,,"Wagner holds the 19 APR answering-machine message and has also been getting strange recurring night calls from an unknown man who says, “Start with Peter Devoras,” before listing names.",IL pp. 89-91
OP1 - NPC - Michelle Vanfitz [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,OP1,,"Abigail’s copy of The King in Yellow ended up on Vanfitz’s shelves after Wright shared it. Vanfitz is one of the clearest routes from the daytime investigation into the Night Floors, because her apartment becomes an access point by night.",IL pp. 91-95
OP1 - NPC - Louis Post [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 30 - Macallistar Tenants,OP1,,"Post is less a clue fountain than a pressure point. He is deeply unstable and increasingly dangerous, especially by night.","IL pp. 95-97, 118-119"
OP1 - NPC - David Langford [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 50 - Night Floors Residents,OP1,,"Langford crossed into the Night Floors on 20 MAR 1995 while working the cable box at the top-floor stair landing just as day turned to night. He has survived by hiding, scavenging old food and drink, and avoiding the other residents.","IL pp. 54-56, 100-101, 117-118"
OP1 - NPC - Henri de Calvados Castaigne [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 50 - Night Floors Residents,OP1,,"Castaigne claims Carcosa as his place of origin and dreams of kingship. He is one of the better social bridges deeper into Night World logic, but he is also vain, dangerous, and consumed by bottle- and throne-oriented obsessions.","IL pp. 102-104, 115"
OP1 - NPC - Encyclopedia Salesman [GM],Journal,OP1 - The Night Floors / 30 - People / Groups / 50 - Night Floors Residents,OP1,,He is not a stable witness so much as a recurring encounter-form. Agents below higher Corruption mostly catch him only in peripheral glimpses; those who can perceive him more clearly still cannot catch him.,IL p. 101
OP1 - Location - Macallistar Building [GM],Journal,OP1 - The Night Floors / 20 - Locations / 10 - Core Building,OP1,,By day it looks merely strange; by night it opens into the Night Floors and the tenants live double lives.,"IL pp. 70-74, 84-97, 97-112"
OP1 - Location - ARTLIFE Office [GM],Journal,OP1 - The Night Floors / 20 - Locations / 40 - External Investigation Sites,OP1,,"Gives the clean day-world truth: tenancy, late rent, and ARTLIFE’s quiet desire to empty the building for renovation.",IL pp. 72-74
OP1 - Location - Abigail Wright’s Apartment and Shrine [GM],Journal,OP1 - The Night Floors / 20 - Locations / 10 - Core Building,OP1,,Central clue location; prolonged exposure affects Agents; the apartment is the clearest physical sign that the building is already infected.,IL pp. 74-82
OP1 - Location - Thomas Manuel’s Apartment [GM],Journal,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,OP1,,"Contains clear signs of surveillance, fixation, and night-side leakage even when Manuel denies anything is wrong.",IL pp. 85-88
OP1 - Location - Thomas Manuel’s Basement Studio [GM],Journal,OP1 - The Night Floors / 20 - Locations / 30 - Building Subareas,OP1,,"Holds “My Great Work,” linseed oil for “Sami,” and paintings that later echo real-world horrors.",IL pp. 87-88
OP1 - Location - Roger Carun’s Apartment [GM],Journal,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,OP1,,Carun is altering or channeling material tied to the play; his apartment supports the last-call clue path and paranoia signs.,IL pp. 89-91
OP1 - Location - Michelle Vanfitz’s Apartment [GM],Journal,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,OP1,,By day it contains Wright’s battered Red Book; by night an archway opens to endless book-rooms of the Night Floors.,IL pp. 91-95
OP1 - Location - Louis Post’s Apartment [GM],Journal,OP1 - The Night Floors / 20 - Locations / 20 - Tenant Apartments,OP1,,By night he becomes far more dangerous; the apartment is more a pressure-cooker than a clue cache.,IL pp. 95-97
OP1 - Location - Top-Floor Stair Landing / Roof Door [GM],Journal,OP1 - The Night Floors / 20 - Locations / 10 - Core Building,OP1,,Langford vanished here while working the cable box at the day/night threshold; this is also tied to Wright’s 1994 mugging near the roof door.,"IL pp. 54-56, 97-101"
OP1 - Location - The Night Floors [GM],Journal,OP1 - The Night Floors / 20 - Locations / 50 - Night Floors,OP1,,"The lost and the mad live here as dark caricatures; Wright cannot be recovered here in Part One, only understood.",IL pp. 97-112
OP1 - Location - Smoking Lounge [GM],Journal,OP1 - The Night Floors / 20 - Locations / 50 - Night Floors,OP1,,Manuel places Wright’s going-away party here; it is a stable enough named anchor to warrant its own location entry.,"IL pp. 86, 97-99"
OP1 - Concept - Double Lives of the Tenants [GM],Journal,OP1 - The Night Floors / 70 - Reference / Rules,OP1,,"Core operating principle for all tenant interactions. Summary of how day/night split works, which tenants are affected, and practical play guidance.","IL pp. 67, 85-97"
OP1 - Concept - Access to the Night Floors [GM],Journal,OP1 - The Night Floors / 70 - Reference / Rules,OP1,,"How and when Agents can actually get in, what they perceive, threshold rules, and Corruption-facing reminders.","IL pp. 75, 91-95, 97-112"
OP1 - Concept - Fate of Abigail Wright [GM],Journal,OP1 - The Night Floors / 70 - Reference / Rules,OP1,,"Do not let this leak into player-facing docs. What the players may conclude, what is true, and what not to reveal early.","IL pp. 66-67, 112-113"
OP1 - Handout - Abigail Wright Shrine - Evidence Photos [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Abigail Wright Shrine - Evidence Photos,What not to attach until discovered. The exact full prose/visual package was not finalized in approved scope.,IL pp. 74-82
OP1 - Handout - Macallistar Map [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Macallistar Map,What the annotations actually imply.,IL p. 78
OP1 - Handout - The Mysterious Play - First Page [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,The Mysterious Play - First Page,Who each role/player maps to.,"IL pp. 55, 79"
OP1 - Handout - Abigail Wright Receipt [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Abigail Wright Receipt,What room / occupancy implication it points to.,IL p. 80
OP1 - Handout - Abigail Wright Sheet Music [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Abigail Wright Sheet Music,Recurring campaign lyric / why it matters later.,IL p. 80
OP1 - Handout - Abigail Wright Seal [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Abigail Wright Seal,Delta Green trigger / occult recognition note.,"IL pp. 67-68, 80"
OP1 - Handout - Thomas Manuel - Ambrose Locket [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Thomas Manuel - Ambrose Locket,Hidden Ambrose mark / old craftsmanship significance.,IL p. 87
OP1 - Handout - Thomas Manuel - Tape Rig [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Thomas Manuel - Tape Rig,How it directly implicates Manuel in watching Wright.,IL p. 87
OP1 - Handout - Carmen Wagner - Answering Machine Message [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Carmen Wagner - Answering Machine Message,How to pace the “Peter Devoras” follow-up.,"IL pp. 89-91, 90"
OP1 - Handout - Roger Carun - Word Processor Message [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Roger Carun - Word Processor Message,Night-only condition / password / implications.,IL pp. 90-91
OP1 - Handout - Daribondi - Broadalbin Photograph [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Daribondi - Broadalbin Photograph,Why Broadalbin is bigger than OP1.,IL pp. 71-73
OP1 - Handout - Lundine Family - Abraham Photograph [Player],Journal,OP1 - The Night Floors / 40 - Clues / Handouts,OP1,Lundine Family - Abraham Photograph,Dog identity / long-term connective clue.,"IL pp. 100-101, 117"
OP1 - Scene - Macallistar Building - Investigation Map [GM],Scene,OP1 - The Night Floors / 60 - Scenes / Boards,OP1,,Clickable apartment/stair/basement note scene for day-side navigation.,Based on IL pp. 70-97
OP1 - Scene - The Night Floors - Mood Board [GM],Scene,OP1 - The Night Floors / 60 - Scenes / Boards,OP1,,Mood / node scene for surreal exploration rather than tactical play.,Based on IL pp. 97-112
OP1 - Board - Macallistar Building - Evidence Web [GM],Scene,OP1 - The Night Floors / 60 - Scenes / Boards,OP1,,"GM evidence board linking tenants, clues, and shrine evidence.",Synthesized from IL pp. 67-112
